#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,,857,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:33.122585Z,0,error_count,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Philips,NICU,Down
,,858,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:33.122585Z,90,health_percent,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Philips,NICU,Down
,,859,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:33.122585Z,42,load,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Philips,NICU,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,860,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:33.122585Z,31.86,temperature,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Philips,NICU,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,861,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:23.107461Z,3,error_count,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Active
,,861,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:28.115168Z,5,error_count,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Active
,,862,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:23.107461Z,65,health_percent,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Active
,,862,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:28.115168Z,69,health_percent,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Active
,,863,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:23.107461Z,19,load,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Active
,,863,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:28.115168Z,83,load,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,864,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:23.107461Z,31.15,temperature,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Active
,,864,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:28.115168Z,32.35,temperature,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,865,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:03.074895Z,5,error_count,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Down
,,866,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:03.074895Z,67,health_percent,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Down
,,867,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:03.074895Z,52,load,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,868,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:03.074895Z,27.22,temperature,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,869,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:08.086607Z,0,error_count,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Idle
,,869,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:13.091164Z,0,error_count,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Idle
,,869,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:18.099682Z,2,error_count,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Idle
,,870,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:08.086607Z,66,health_percent,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Idle
,,870,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:13.091164Z,72,health_percent,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Idle
,,870,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:18.099682Z,60,health_percent,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Idle
,,871,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:08.086607Z,70,load,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Idle
,,871,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:13.091164Z,65,load,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Idle
,,871,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:18.099682Z,63,load,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Idle

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,872,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:08.086607Z,27.73,temperature,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Idle
,,872,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:13.091164Z,28.71,temperature,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Idle
,,872,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:18.099682Z,30.01,temperature,hospital_device_data,NVM5,GBS2-DEV-014,Non-Critical,Warning,Globus Medical,GBS2,Downtown,Philips,NICU,Idle

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,873,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:03.074904Z,1,error_count,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Active
,,873,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:13.091179Z,1,error_count,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Active
,,874,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:03.074904Z,86,health_percent,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Active
,,874,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:13.091179Z,95,health_percent,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Active
,,875,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:03.074904Z,74,load,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Active
,,875,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:13.091179Z,11,load,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,876,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:03.074904Z,29.8,temperature,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Active
,,876,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:13.091179Z,29.86,temperature,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,877,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:18.09969Z,0,error_count,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Down
,,877,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:28.115176Z,5,error_count,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Down
,,877,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:33.122594Z,0,error_count,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Down
,,878,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:18.09969Z,100,health_percent,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Down
,,878,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:28.115176Z,99,health_percent,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Down
,,878,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:33.122594Z,93,health_percent,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Down
,,879,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:18.09969Z,39,load,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Down
,,879,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:28.115176Z,77,load,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Down
,,879,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:33.122594Z,23,load,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,880,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:18.09969Z,29.62,temperature,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Down
,,880,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:28.115176Z,29.98,temperature,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Down
,,880,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:33.122594Z,29.52,temperature,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,881,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:08.086616Z,0,error_count,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Idle
,,881,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:23.10747Z,3,error_count,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Idle
,,882,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:08.086616Z,85,health_percent,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Idle
,,882,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:23.10747Z,95,health_percent,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Idle
,,883,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:08.086616Z,19,load,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Idle
,,883,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:23.10747Z,39,load,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Idle

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,884,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:08.086616Z,29.78,temperature,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Idle
,,884,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-25T12:48:23.10747Z,29.69,temperature,hospital_device_data,NVM5,GBS2-DEV-015,Non-Critical,Healthy,Globus Medical,GBS2,Downtown,Siemens,ICU-2,Idle

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,885,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:35.888132Z,4,error_count,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Active
,,885,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:50.907641Z,5,error_count,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Active
,,885,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:00.921573Z,0,error_count,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Active
,,886,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:35.888132Z,95,health_percent,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Active
,,886,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:50.907641Z,80,health_percent,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Active
,,886,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:00.921573Z,98,health_percent,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Active
,,887,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:35.888132Z,98,load,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Active
,,887,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:50.907641Z,75,load,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Active
,,887,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:00.921573Z,93,load,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,888,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:35.888132Z,30.32,temperature,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Active
,,888,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:50.907641Z,30.4,temperature,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Active
,,888,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:00.921573Z,30.57,temperature,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Active

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,889,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:30.880618Z,0,error_count,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Down
,,889,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:45.899241Z,1,error_count,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Down
,,889,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:05.92874Z,3,error_count,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Down
,,890,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:30.880618Z,91,health_percent,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Down
,,890,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:45.899241Z,84,health_percent,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Down
,,890,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:05.92874Z,80,health_percent,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Down
,,891,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:30.880618Z,14,load,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Down
,,891,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:45.899241Z,78,load,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Down
,,891,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:05.92874Z,46,load,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Down

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_category,device_id,device_type,health_status,hospital,hospital_id,location,manufacturer,room,status
,,892,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:30.880618Z,30.71,temperature,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Down
,,892,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:22:45.899241Z,29.91,temperature,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Down
,,892,2026-02-23T14:24:08.967665487Z,2026-03-25T14:24:08.967665487Z,2026-03-23T14:23:05.92874Z,30.4,temperature,hospital_device_data,NVM5,GBS2-DEV-016,Critical,Healthy,Globus Medical,GBS2,Downtown,Medtronic,ICU-2,Down

